EXECID,Politics
00002,-0.1893939394
00003,1
00006,
00007,-1
00008,-0.2
00010,-0.9
00011,-0.2444444444
00013,0.2280784004
00014,
00015,0.6
00016,1
00017,0.9777777778
00018,
00019,
00020,
00021,0.6391263058
00023,0.7291666667
00024,1
00025,
00026,-1
00027,
00028,
00029,0.8831168831
00030,1
00031,-0.4444444444
00034,1
00035,-1
00036,-1
00037,
00038,
00039,1
00040,0.8617021277
00041,1
00042,-0.4765218898
00043,1
00044,0.6826186069
00047,-0.3333333333
00048,
00050,-0.2
00051,0.5
00052,0
00053,0.96
00054,1
00055,0.3954045954
00056,1
00058,-0.1666666667
00059,
00060,1
00061,0.7222222222
00062,0.2428872492
00063,0.8642286716
00064,0.354248366
00065,0
00066,0.124973343
00067,-0.2317460317
00068,0.9230769231
00071,-1
00072,
00073,1
00074,-1
00075,
00076,0.3333333333
00077,0.3731363983
00079,1
00081,
00082,-0.8333333333
00083,0.6328131253
00084,
00085,-0.3333333333
00086,-0.4178062678
00087,-0.9365079365
00088,0.2592592593
00089,0.9444444444
00090,0
00091,0.3333333333
00092,-0.24
00093,1
00095,0.2666666667
00096,-1
00097,1
00098,-1
00099,
00103,1
00104,
00105,1
00106,1
00107,0.3333333333
00108,1
00109,1
00111,0.8990384615
00112,
00113,1
00114,0.2739661654
00115,1
00116,0.6712693798
00117,-0.5996485037
00118,
00119,1
00120,0
00121,1
00122,0.4309641356
00123,0
00124,-0.3198517638
00125,-0.790940185
00126,0.7777777778
00127,0.6400885936
00129,-0.5
00130,0.6
00132,0.2245386193
00133,0.9615384615
00134,0.6666666667
00136,
00137,-0.2121212121
00138,0
00139,1
00140,0.6666666667
00141,0.2380952381
00142,
00143,
00144,
00146,0.1902574333
00147,
00148,1
00149,0.9466666667
00150,0.7207207207
00151,0.7187288709
00152,-0.7222222222
00153,1
00154,0.8666666667
00155,1
00156,1
00158,-0.9003921569
00159,1
00160,
00161,
00162,-0.7831362788
00163,0
00164,
00165,1
00166,0.9221732746
00167,-1
00168,
00169,-1
00170,
00172,0.6
00174,-0.08058204462
00175,
00176,0.3356321839
00177,1
00178,0.8888888889
00179,-1
00180,1
00181,
00182,0.1081388111
00183,-0.1428571429
00184,
00185,
00187,1
00189,
00190,0.1050487181
00191,-1
00192,-0.3333333333
00193,1
00194,-0.3333333333
00195,
00197,1
00200,-1
00201,-1
00202,0.4285714286
00203,0.5555555556
00204,0.5333333333
00205,0.5
00207,0.7292934075
00208,0.3333333333
00209,1
00210,0.9824074074
00211,
00212,0.9666666667
00213,
00214,-1
00215,0.1666666667
00216,-1
00217,
00219,1
00220,0.1653881562
00221,
00222,1
00223,0.3098989899
00224,1
00225,
00226,-0.3333333333
00227,1
00229,-0.9047619048
00231,
00232,1
00233,-0.1753991299
00234,-0.3333333333
00235,1
00236,0.2641879304
00237,-1
00238,1
00239,0.237657784
00240,1
00241,0.1122932051
00242,
00244,1
00245,0.3333333333
00246,0.4241582024
00247,0.7391304348
00248,
00249,-0.8
00250,-1
00251,
00253,
00254,-1
00255,0.5798319328
00256,1
00257,
00259,
00260,0.8829824918
00262,1
00263,1
00264,1
00265,-0.25
00266,-1
00267,1
00268,
00269,-0.1491135127
00270,0.7442874586
00271,
00272,0.5925925926
00273,0.5282051282
00274,1
00275,-0.5
00276,1
00277,
00278,0.6666666667
00279,0.5693789711
00280,1
00281,0.5733503552
00282,0.5555555556
00283,0.6666666667
00284,
00285,1
00287,0
00288,0.5
00289,
00290,1
00291,1
00293,1
00295,-0.4917267153
00296,0.9272727273
00297,0.8181818182
00298,0.5833333333
00299,
00300,1
00301,1
00302,
00303,-1
00304,1
00306,0.3835125448
00307,-1
00308,-0.4276094276
00309,1
00310,0.5
00311,
00312,
00313,
00314,
00315,-1
00316,0
00317,0
00318,-0.1279887482
00319,0.379180151
00320,0
00321,0.8888888889
00322,
00323,0.326629681
00324,
00325,0.6692411037
00326,1
00327,
00329,0.361900217
00330,
00331,
00332,0.6666666667
00333,0.9385727191
00334,
00336,1
00337,
00338,1
00339,0.168
00340,1
00341,0.5313057418
00342,-0.6924111808
00343,0
00344,
00345,
00346,0
00347,0.7777777778
00348,
00349,1
00350,1
00352,-0.9411764706
00353,
